country,country_long,currency,capital_city,region,continent,demonym,latitude,longitude,agricultural_land,forest_area,land_area,rural_land,urban_land,central_government_debt_pct_gdp,expense_pct_gdp,gdp,inflation,self_employed_pct,tax_revenue_pct_gdp,unemployment_pct,vulnerable_employment_pct,electricity_access_pct,alternative_nuclear_energy_pct,electricty_production_coal_pct,electricty_production_hydroelectric_pct,electricty_production_gas_pct,electricty_production_nuclear_pct,electricty_production_oil_pct,electricty_production_renewable_pct,energy_imports_pct,fossil_energy_consumption_pct,renewable_energy_consumption_pct,co2_emissions,methane_emissions,nitrous_oxide_emissions,greenhouse_other_emissions,urban_population_under_5m,health_expenditure_pct_gdp,health_expenditure_capita,hospital_beds,hiv_incidence,suicide_rate,armed_forces,internally_displaced_persons,military_expenditure_pct_gdp,birth_rate,death_rate,fertility_rate,internet_pct,life_expectancy,net_migration,population_female,population_male,population,women_parliament_seats_pct,rural_population,urban_population,press,democracy_score,democracy_type,median_age,political_leader,title
Czech Republic,Czech Republic,Czech koruna,Prague,Eastern Europe,Europe,Czech,49.75,15.5,35238.7,26770.9,77198.5,73926.2,4023.4,14.0964,38.0504,290924000000.0,15.1002,15.8991,13.361,2.37,13.1283,100.0,18.9566,53.0611,2.1727,2.74039,32.4889,0.113779,9.23187,31.6237,77.7346,16.97,88835.2,12381.6,4755.49,-5775.43,0.0,9.24007,2119.85,6.62,,12.2,25000.0,,1.43409,10.6,13.3,1.83,82.6706,77.0,3621,5340795,5185278,10526073,25.5,2697096,7828977,3.14,7.69,Flawed democracy,38.8,Andrej Babiš,Prime Minister
Dem. People's Rep. Korea,Democratic People's Republic of Korea,Democratic People's Republic of Korean won,Pyongyang,Eastern Asia,Asia,North Korean,40.0,127.0,25900.0,60300.9,120410.0,119025.0,2678.34,,,,,86.6006,,2.962,85.0432,52.6306,7.01145,21.2856,72.7961,0.0,0.0,5.91832,0.0,-74.7524,62.052,12.7,52437.2,18145.5,2590.05,-26188.7,3.38561,,,13.2,,9.4,1469000.0,,,13.24,9.313,1.809,0.0,73.0,-1589,13164298,12905119,26069416,17.6128,9667582,16401834,0.94,1.08,Authoritarian,31.9,Kim Jong-un,Chairman of the Workers Party of Korea
Dem. Rep. Congo,Democratic Republic of the Congo,Congolese franc,Kinshasa,Middle Africa,Africa,Congolese,0.0,25.0,335720.0,1261550.0,2267050.0,2295900.0,7232.35,152.187,11.4983,58066000000.0,2.88585,80.6942,10.7041,4.987,78.1651,20.7682,2.35995,0.0,99.7092,0.0447327,0.0,0.134198,0.111832,1.95927,5.35581,96.16,3025.6,35684.2,14960.6,-2774.77,0.0036355,4.05093,21.2539,0.8,0.18,6.7,134000.0,5686000,0.561686,42.049,9.7,6.156,22.9016,59.0,-64643,49892177,49118035,99010212,12.8,52636799,46373413,1.51,1.49,Authoritarian,11.7,Félix Tshisekedi,President
Denmark,Kingdom of Denmark,Danish krone,Copenhagen,Northern Europe,Europe,Danish,56.0,10.0,26199.9,6284.4,40000.0,40365.6,2235.49,75.2616,37.8099,395404000000.0,7.69657,8.93649,35.4556,4.172,5.26052,100.0,11.7489,24.5449,0.0621826,6.27353,0.0,1.08129,65.4437,1.775,64.9271,39.7,27356.5,7778.77,5492.83,-1927.65,8.64749,10.8463,7375.15,2.6,0.02,10.7,15000.0,,1.37159,10.8,9.8,1.72,98.8659,81.0,22746,2966194,2936844,5903037,43.5754,686700,5216337,7.92,9.22,Full democracy,37.2,Mette Frederiksen,Prime Minister
Djibouti,Republic of Djibouti,Djibouti franc,Djibouti,Eastern Africa,Africa,Djibouti,11.5,43.0,17020.0,58.0,23180.0,21571.8,51.2502,,,3515110000.0,5.17981,51.4098,,27.929,47.0314,65.4413,,,,,,,,,0.0,30.94,427.7,659.923,259.183,-988.851,8.60944,2.00786,62.8094,1.4,0.13,9.6,13000.0,,3.68807,22.205,9.147,2.804,68.8632,62.0,742,564584,556264,1120849,26.1538,242328,878521,1.1,2.87,Authoritarian,20.0,Ismaïl Omar Guelleh,President
Dominica,Commonwealth of Dominica,East Caribbean dollar,Roseau,Caribbean,Americas,Dominican,15.41666666,-61.33333333,250.0,478.7,750.0,735.839,20.9994,,,612048000.0,-0.727116,,,,,100.0,,,,,,,,,0.0,8.34,162.8,43.8723,20.5276,4.23346,6.95788,5.64583,426.664,3.8,,,,,,13.326,8.986,1.595,80.933,73.0,57,36577,36161,72737,34.375,20585,52152,0.0,0.0,Unknown,28.1,Roosevelt Skerrit,Prime Minister
Dominican Republic,Dominican Republic,Dominican peso,Santo Domingo,Caribbean,Americas,Dominican,19.0,-70.66666666,24290.0,21441.0,48310.0,45389.6,2504.49,16.4168,17.8061,113642000000.0,8.81109,41.9041,14.3774,7.121,38.8807,98.1,2.34366,12.8569,6.36615,22.0296,0.0,53.4811,5.26629,86.7171,86.5636,16.69,22881.3,9243.11,3395.51,2133.26,1.38305,4.94,354.095,1.56,0.39,4.9,71000.0,,0.650563,18.432,6.678,2.273,85.243,73.0,-14966,5594560,5634261,11228821,27.8947,1813679,9415142,2.8,6.54,Flawed democracy,23.4,Danilo Medina,President
Ecuador,Republic of Ecuador,U.S. dollar,Quito,South America,Americas,Ecuadorean,-2.0,-77.5,54200.0,124978.0,248360.0,253214.0,2293.85,,32.2309,115049000000.0,3.46617,54.8448,12.8574,3.955,52.2387,100.0,6.21358,0.0,50.7007,12.6674,0.0,34.5296,2.10221,-114.712,86.8847,20.1,34431.0,27460.3,5192.81,-335.689,6.35404,8.47677,478.53,1.39,0.11,7.6,42000.0,,2.45571,16.817,6.719,2.026,76.2029,74.0,35894,9016398,8984602,18001000,38.6861,6377754,11623246,2.45,6.27,Flawed democracy,23.9,Lenín Moreno,President
Egypt,Arab Republic of Egypt,Egyptian pound,Cairo,Northern Africa,Africa,Egyptian,27.0,30.0,39710.0,449.8,995450.0,971206.0,18918.0,85.7885,30.2304,476748000000.0,13.8957,27.1192,12.5192,6.959,18.1332,100.0,1.49972,0.0,7.38115,70.7287,0.0,21.012,0.878133,-7.39149,97.9289,6.51,210752.0,64402.9,20471.5,17962.6,13.7509,4.36498,150.907,1.43,,3.0,836000.0,3200,1.30082,22.558,6.327,2.917,72.06,70.0,-32370,54865512,56124592,110990103,27.5804,63300985,47689118,1.38,3.36,Authoritarian,20.1,Abdel Fattah el-Sisi,President
El Salvador,Republic of El Salvador,U.S. dollar,San Salvador,Central America,Americas,Salvadoran,13.83333333,-88.91666666,11957.0,5838.8,20720.0,18676.4,1559.87,65.548,29.0986,32488700000.0,7.19862,37.864,19.4168,3.822,33.982,97.89,6.30929,0.0,22.5914,0.0,0.0,42.1773,35.2313,49.2355,48.4296,23.7,6376.3,3269.5,1015.75,616.234,0.260808,9.85178,385.743,1.2,0.17,6.1,42000.0,52000,1.3749,16.025,8.661,1.803,62.8803,71.0,-27343,3319856,3016535,6336392,27.381,1598862,4737530,2.62,5.96,Hybrid regime,22.8,Nayib Bukele,President
Equatorial Guinea,Republic of Equatorial Guinea,Central African CFA franc,Malabo,Middle Africa,Africa,Equatorial Guinean,2.0,10.0,1885.2,24484.2,28050.0,26898.2,136.734,,10.3127,11813900000.0,4.78672,87.786,5.37157,8.689,79.2595,66.787,,,,,,,,,0.0,5.99,4350.4,4778.32,33.3393,3703.63,4.90213,3.76834,236.62,2.1,3.8,7.9,1000.0,,1.30517,30.498,9.042,4.266,53.9224,61.0,6486,790982,883926,1674908,31.0,435309,1239599,1.34,1.92,Authoritarian,16.8,Teodoro Obiang Nguema Mbasogo,President
Eritrea,State of Eritrea,Eritrean nakfa,Asmara,Eastern Africa,Africa,Eritrean,15.0,39.0,75920.0,10552.6,121041.0,120001.0,331.192,,,2065000000.0,,86.8692,,6.618,85.6159,52.514,0.0211212,0.0,0.0,0.0,0.0,99.5074,0.492611,22.2672,23.1334,80.9,706.4,3732.24,1730.46,35.8599,14.9038,4.0936,23.9813,0.7,0.06,10.9,202000.0,10000,20.8657,28.624,6.729,3.867,21.7304,67.0,-14988,1866154,1817878,3684032,22.0,2113713,1570319,0.97,2.37,Authoritarian,14.5,Isaias Afwerki,President
Estonia,Republic of Estonia,Euro,Tallinn,Northern Europe,Europe,Estonian,59.0,26.0,9850.0,24384.0,42750.0,42656.6,449.972,23.6674,37.7206,38100800000.0,19.3983,10.4672,21.4247,5.851,6.1372,100.0,0.933237,5.32783,0.259192,0.595181,0.0,1.22876,14.1595,-2.70596,13.0562,40.0,7097.52,1097.12,1827.19,-6522.41,1.31773,7.46634,2035.62,4.57,,14.9,7000.0,,2.15551,10.0,14.0,1.61,91.04,77.0,2995,706316,638452,1344768,25.7426,408688,936080,6.37,7.97,Flawed democracy,37.7,Jüri Ratas,Prime Minister
Eswatini,Kingdom of Eswatini,Swazi lilangeni,Lobamba,Southern Africa,Africa,Swazi,-26.5,31.5,12220.0,4975.6,17200.0,17073.2,177.919,,,4854170000.0,2.59802,34.0519,,24.389,32.0574,82.9032,,,,,,,,,0.0,68.77,1147.7,1326.03,423.545,642.428,0.0,6.51153,219.104,2.1,7.65,29.4,3000.0,,1.69802,24.134,11.356,2.839,58.9129,57.0,-4897,605504,596167,1201670,13.5135,906348,295322,1.59,3.03,Authoritarian,17.7,Mswati III,King
Ethiopia,Federal Democratic Republic of Ethiopia,Ethiopian birr,Addis Ababa,Eastern Africa,Africa,Ethiopian,8.0,38.0,384761.0,170685.0,1128570.0,1124620.0,5760.66,31.4488,8.41227,126783000000.0,26.8395,85.6278,6.1963,4.018,85.191,54.1884,1.18367,0.0,92.6895,0.0,0.0,0.0383252,7.2722,5.92631,6.56981,89.52,18098.0,94645.6,53761.3,5071.14,0.0,3.48096,28.6967,0.33,0.12,5.4,138000.0,3852000,0.527828,32.383,6.776,4.159,16.6981,65.0,-1391,61399749,61980175,123379924,41.4894,95420799,27959125,2.23,3.35,Authoritarian,14.7,Abiy Ahmed,Prime Minister
Fiji,Republic of Fiji,Fijian dollar,Suva,Melanesia,Oceania,Fijian,-18.0,175.0,3116.0,11400.2,18270.0,18883.8,117.257,36.6283,34.63,4943250000.0,4.52019,33.1237,15.9067,4.334,31.9567,92.1,,,,,,,,,0.0,29.8,1028.2,443.649,191.233,106.807,3.48603,3.74985,186.364,2.0,0.19,9.0,4000.0,,1.65063,19.345,8.859,2.475,87.66,67.0,-6003,463626,466140,929766,19.6078,388373,541393,2.88,5.85,Hybrid regime,23.0,Frank Bainimarama,Prime Minister
Finland,Republic of Finland,Euro,Helsinki,Northern Europe,Europe,Finnish,64.0,26.0,22700.0,224090.0,303940.0,302766.0,2242.66,58.2474,39.8521,280826000000.0,7.12351,14.7093,20.6553,6.801,10.9335,100.0,25.3513,8.30357,24.4457,7.57322,33.898,0.309051,20.0534,45.3338,40.208,47.49,36329.9,4506.32,5877.06,-4043.96,2.90263,9.6135,4726.14,3.61,,15.3,27000.0,,2.03028,9.0,10.4,1.46,92.8081,82.0,14928,2811103,2745778,5556880,45.5,795690,4761190,9.9,9.14,Full democracy,38.6,Sanna Marin,Prime Minister
France,French Republic,Euro,Paris,Western Europe,Europe,French,46.0,2.0,285538.0,172530.0,547557.0,522936.0,23030.7,116.547,49.9018,2782910000000.0,5.22237,12.4854,23.9683,7.445,7.6875,100.0,49.0615,2.16045,9.66115,3.51273,77.6278,0.382613,6.19652,44.1102,46.488,16.87,267155.0,58451.5,36202.7,996.684,1.26393,12.205,4768.73,5.91,0.09,13.8,304000.0,,1.94538,10.9,9.7,1.83,86.0955,82.0,20614,35105568,32830093,67935660,37.2617,12561983,55373677,3.52,7.8,Flawed democracy,37.9,Emmanuel Macron,President
Gabon,Gabonese Republic,Central African CFA franc,Libreville,Middle Africa,Africa,Gabonese,-1.0,11.75,22126.4,235306.0,257670.0,263338.0,311.6,,13.5419,21071700000.0,4.23125,33.6156,11.4795,21.469,31.1541,91.8064,1.2121,0.0,43.1797,46.0489,0.0,10.207,0.56444,-213.401,22.7865,90.12,5349.2,7451.56,523.122,1095.79,7.88184,3.42725,228.976,6.3,0.8,8.4,7000.0,,1.71004,27.142,7.258,3.491,71.7494,66.0,1516,1173488,1215505,2388992,15.3846,221340,2167652,2.2,3.61,Authoritarian,17.7,Ali Bongo Ondimba,President
Georgia,Georgia,Georgian lari,Tbilisi,Western Asia,Asia,Georgian,42.0,43.5,23779.0,28224.0,69490.0,68068.7,1130.16,55.3844,27.5311,24605400000.0,11.8982,48.1682,21.7308,11.311,46.1771,100.0,15.7464,0.0,78.0393,21.9607,0.0,0.0,0.0,68.7521,72.2095,23.45,10255.0,5133.09,2158.3,1189.59,3.03959,7.60487,320.005,2.89,0.14,9.2,26000.0,308000,1.67322,13.412,15.166,2.081,76.4427,72.0,-2734,1967488,1745015,3712502,19.0476,1473975,2238527,2.7,5.5,Hybrid regime,32.5,Giorgi Gakharia,Prime Minister
Germany,Federal Republic of Germany,Euro,Berlin,Western Europe,Europe,German,51.0,9.0,165950.0,114190.0,349390.0,316383.0,36996.4,20.9306,33.4658,4072190000000.0,6.87257,8.31331,11.2253,2.989,4.42199,100.0,12.8636,44.2628,2.96068,9.83155,14.3199,0.968693,26.2711,61.4002,78.8625,18.6,603350.0,46917.6,33815.1,-16702.2,1.17774,12.8054,6503.36,8.0,0.03,12.3,184000.0,,1.33738,9.6,12.3,1.58,91.4306,81.0,312735,42593197,41486614,84079811,34.9185,18793519,65286292,5.36,8.68,Full democracy,40.9,Olaf Scholz,Federal Chancellor
Ghana,Republic of Ghana,New Ghanaian cedi,Accra,Western Africa,Africa,Ghanaian,8.0,-2.0,126037.0,79857.1,227533.0,227830.0,5559.55,,21.8836,72838800000.0,31.2559,75.0451,11.3404,3.867,69.8307,86.3,5.86865,0.0,50.8659,38.8478,0.0,0.0,0.0261074,-8.1921,52.5431,40.25,19401.2,11847.9,6369.12,680.014,1.41563,3.9903,84.9784,0.9,0.57,6.6,16000.0,5000,0.492101,27.548,7.627,3.563,68.2,64.0,-11253,16780756,16695114,33475870,14.5455,13853989,19621881,3.76,6.63,Flawed democracy,16.6,Nana Akufo-Addo,President
Greece,Hellenic Republic,Euro,Athens,Southern Europe,Europe,Greek,39.0,22.0,58671.9,39018.0,128900.0,128796.0,2748.66,237.125,55.5636,219066000000.0,9.64526,32.1711,25.3409,12.162,24.4457,100.0,6.20248,42.6595,11.7672,17.5408,0.0,10.9278,16.8886,64.1755,82.5746,20.08,51002.2,9405.83,4423.25,5259.34,2.86727,9.50821,1675.12,4.2,0.07,5.1,147000.0,,3.86737,8.0,13.5,1.39,78.4943,80.0,-14806,5395279,5171252,10566531,21.0,2075584,8490947,2.69,7.29,Flawed democracy,41.1,Kyriakos Mitsotakis,Prime Minister
Grenada,Grenada,East Caribbean dollar,St. George's,Caribbean,Americas,Grenadian,12.11666666,-61.66666666,80.0,177.0,340.0,291.375,68.5197,,,1256410000.0,1.21951,,,,,93.7403,,,,,,,,,0.0,9.96,324.5,2046.86,7.63901,-264.848,4.12027,5.82064,491.082,3.57,,0.7,,,,15.961,8.151,2.004,77.7672,75.0,-85,62717,62721,125438,31.25,79192,46246,0.0,0.0,Unknown,27.1,Keith Mitchell,Prime Minister
Guatemala,Republic of Guatemala,Guatemalan quetzal,Guatemala City,Central America,Americas,Guatemalan,15.5,-90.25,38560.0,35278.0,107160.0,105527.0,2900.62,25.2099,13.2661,95003300000.0,6.88513,36.0912,11.613,2.569,33.4717,97.8657,2.56506,21.3601,35.0425,0.0,0.0,18.2492,25.3482,32.8442,37.3786,65.46,16865.2,10598.1,5199.3,-699.316,0.121005,6.46871,289.127,0.44,0.07,5.9,43000.0,242000,0.444568,21.12,6.504,2.395,50.8416,69.0,-29118,8767508,8590378,17357886,19.375,8216182,9141704,2.18,5.6,Hybrid regime,18.5,Alejandro Giammattei,President
Guinea,Republic of Guinea,Guinean franc,Conakry,Western Africa,Africa,Guinean,11.0,-10.0,145000.0,61890.0,245720.0,244206.0,1390.66,,9.43305,21227700000.0,10.493,92.6106,10.8418,5.749,91.2606,46.8139,,,,,,,,,,65.53,4537.9,16813.3,6822.44,1868.2,1.46906,4.04451,46.8419,0.3,0.49,7.0,13000.0,,1.48454,34.425,9.99,4.399,34.6801,59.0,-4367,7005320,6854020,13859341,29.6296,8638804,5220537,2.34,3.14,Authoritarian,13.9,Alpha Condé,President
Guinea-Bissau,Republic of Guinea-Bissau,West African CFA franc,Bissau,Western Africa,Africa,Guinea-Bissauan,12.0,-15.0,8151.1,19800.1,28120.0,33293.4,196.264,,14.6466,1633560000.0,9.39384,82.3292,9.46207,3.583,81.1754,35.7638,,,,,,,,,0.0,87.26,329.0,1261.12,765.861,111.294,1.24085,8.40979,61.4319,1.0,1.12,7.0,4000.0,,1.78264,31.087,8.716,4.005,35.155,60.0,-1395,1065706,1039860,2105566,13.7255,1157198,948368,2.53,1.98,Authoritarian,14.5,Umaro Sissoco Embaló,President
Guyana,Co-operative Republic of Guyana,Guyana dollar,Georgetown,South America,Americas,Guyanese,5.0,-59.0,12412.5,184153.0,196850.0,209904.0,165.726,,,15357500000.0,5.03286,31.4315,,12.358,25.9489,92.8982,,,,,,,,,0.0,11.97,2768.5,1846.6,567.141,-873.057,51.9874,5.50864,378.062,1.71,0.62,40.3,3000.0,,0.956516,20.298,9.987,2.397,84.7936,66.0,-4316,412743,395982,808726,35.3846,590192,218534,2.94,6.67,Flawed democracy,21.8,David A. Granger,President
Haiti,Republic of Haiti,Haitian gourde,Port-au-Prince,Caribbean,Americas,Haitian,19.0,-72.41666666,18400.0,3473.0,27560.0,25688.1,1326.1,,,20253600000.0,33.9839,76.8133,,14.836,76.1607,47.1803,0.0739734,0.0,7.99615,0.0,0.0,92.0039,0.0,22.0159,22.0159,76.31,3209.04,5203.62,1533.39,533.103,2.93592,3.22171,44.1798,0.71,0.38,9.6,1000.0,171000,0.188541,23.498,8.676,2.814,38.945,63.0,-32977,5846285,5738710,11584996,2.54237,4770701,6814295,2.7,4.91,Hybrid regime,19.3,Jovenel Moïse,President
Honduras,Republic of Honduras,Honduran lempira,Tegucigalpa,Central America,Americas,Honduran,15.0,-86.5,35110.0,63592.6,111890.0,110411.0,1576.93,,23.9056,31717700000.0,9.08964,49.9251,14.7654,7.099,40.1576,94.1316,3.32795,1.03737,26.1015,0.0,0.0,56.6871,16.174,52.9964,52.4793,50.09,8835.4,7741.12,3123.89,1159.72,0.587972,9.10416,253.918,0.64,0.08,2.1,23000.0,247000,1.60588,21.071,5.608,2.363,48.0835,70.0,-5779,5165506,5267354,10432860,27.3438,4214875,6217985,1.61,5.63,Hybrid regime,19.8,Juan Orlando Hernández,President
Hungary,Hungary,Hungarian forint,Budapest,Eastern Europe,Europe,Hungarian,47.0,20.0,49030.0,20530.1,91260.0,87565.2,3928.83,86.9139,42.5375,178789000000.0,14.6081,12.4582,21.4633,3.423,8.11848,100.0,18.4515,19.4714,0.771208,16.8348,52.1851,0.253774,9.81148,57.6667,69.5498,14.76,44769.3,6956.25,6484.47,-4678.9,0.0,7.25031,1163.25,7.01,,16.6,40000.0,,1.63607,9.7,16.1,1.59,88.6408,74.0,19870,5034412,4649092,9683505,14.0704,2657928,7025577,2.57,6.63,Flawed democracy,38.1,Viktor Orbán,Prime Minister
Iceland,Republic of Iceland,Iceland krona,Reykjavík,Northern Europe,Europe,Icelander,65.0,-18.0,18720.0,513.5,100830.0,88792.0,107.56,96.8655,35.0853,27841600000.0,8.30875,12.5312,21.6184,3.809,8.32042,100.0,37.5169,0.0,73.3071,0.0,0.0,0.0212777,26.6716,11.5576,11.2889,82.79,1446.6,515.165,368.659,-1573.88,6.32113,9.65297,6636.0,2.83,0.03,11.9,0.0,,,13.1,6.3,1.82,99.687,83.0,622,186151,195748,381900,47.619,22945,358955,5.32,9.58,Full democracy,32.1,Katrín Jakobsdóttir,Prime Minister
India,Republic of India,Indian rupee,New Delhi,Southern Asia,Asia,Indian,20.0,77.0,1790450.0,721600.0,2973190.0,2956470.0,171839.0,46.5225,15.6631,3385090000000.0,6.69903,76.12,12.0174,7.33,73.8121,99.5725,2.66772,75.3094,9.98204,4.9232,2.79064,1.6595,5.36101,34.3055,73.577,35.82,2200840.0,697655.0,279004.0,-333368.0,1.44686,2.95919,56.6287,0.53,0.05,12.7,3045000.0,631000,2.65779,16.419,9.448,2.031,46.31,67.0,-301970,685992675,731180498,1417173173,14.9446,908804812,508368361,1.71,7.23,Flawed democracy,23.9,Narendra Modi,Prime Minister
Indonesia,Republic of Indonesia,Indonesian rupiah,Jakarta,South-Eastern Asia,Asia,Indonesian,-5.0,120.0,623000.0,921332.0,1877520.0,1820840.0,67755.1,44.404,15.5092,1319100000000.0,4.20946,52.5971,9.09404,3.554,49.3511,99.21,0.83857,55.7765,5.87262,25.1701,0.0,8.39801,4.77853,-103.091,66.0895,22.01,563197.0,333995.0,75595.6,-32215.6,6.37355,3.41433,132.963,1.04,0.1,2.4,676000.0,72000,0.695926,16.425,10.065,2.175,62.1,68.0,-14992,136798063,138703277,275501339,21.913,115892393,159608946,2.13,6.39,Flawed democracy,25.6,Joko Widodo,President
Iran,Islamic Republic of Iran,Iranian rial,Tehran,Southern Asia,Asia,Iranian,32.0,53.0,470130.0,107519.0,1622500.0,1601050.0,16217.1,0.0,19.6374,388544000000.0,43.389,43.0009,7.35848,10.964,39.8641,100.0,0.908868,0.164628,5.02079,79.2665,1.6285,14.4256,0.0840956,-33.3953,99.0226,1.03,616561.0,174642.0,39719.8,-27100.0,0.759192,5.3358,573.404,1.56,0.03,5.2,650000.0,,2.29916,13.699,6.437,1.692,78.6,74.0,28080,43835978,44714592,88550570,5.59441,20537534,68013036,1.21,2.45,Authoritarian,28.4,Ali Khamenei,Supreme Leader
Iraq,Republic of Iraq,Iraqi dinar,Baghdad,Western Asia,Asia,Iraqi,33.0,44.0,92500.0,8250.0,434128.0,434270.0,6572.97,27.4382,27.6121,264182000000.0,4.99477,21.3587,1.34459,15.547,19.3373,100.0,0.330701,0.0,3.73175,24.4175,0.0,25.732,0.0,-229.39,95.9842,1.08,163512.0,85917.0,5439.69,14043.8,3.46738,5.0849,202.31,1.32,,3.6,341000.0,1169000,2.28296,27.367,4.753,3.496,48.9172,70.0,-60097,22205751,22290370,44496122,28.8754,12746359,31749763,1.49,4.06,Hybrid regime,16.0,Adil Abdul-Mahdi,Prime Minister
Ireland,Ireland,Euro,Dublin,Northern Europe,Europe,Irish,53.0,-8.0,45120.0,7820.2,68890.0,67698.2,1261.39,65.399,23.3852,529245000000.0,7.80738,13.7196,17.4769,4.362,10.29,100.0,4.80015,17.3458,2.87199,44.0122,0.0,1.44845,25.0934,85.6671,85.3428,13.69,33742.2,15252.8,9572.9,883.435,1.63532,6.72803,6700.18,2.97,0.07,9.6,9000.0,,0.264791,11.6,6.6,1.72,95.1696,82.0,15320,2565839,2521149,5086988,23.125,1822006,3264982,5.21,9.15,Full democracy,33.9,Leo Varadkar,Taoiseach
Israel,State of Israel,Israeli new shekel,Jerusalem,Western Asia,Asia,Israeli,31.5,34.75,6464.0,1400.0,21640.0,19195.2,2743.73,88.6032,38.37,522033000000.0,4.3936,12.256,24.6154,3.476,8.36578,100.0,5.24532,45.4037,0.037368,51.6131,0.0,0.652384,1.85283,64.9674,97.3821,5.61,58471.8,9801.47,2690.53,8969.48,1.60445,8.3195,3867.4,2.98,,5.3,178000.0,,5.17162,19.7,5.4,3.0,90.3,82.0,16856,4786984,4763616,9550600,23.3333,691177,8859423,2.54,7.79,Flawed democracy,25.1,Yair Lapid,Prime Minister
Italy,Italian Republic,Euro,Rome,Southern Europe,Europe,Italian,42.83333333,12.83333333,129990.0,95661.3,295717.0,277071.0,20916.7,77.4637,48.8883,2010430000000.0,8.20129,21.8554,25.4105,8.094,16.029,100.0,6.32722,16.1201,16.1733,39.3732,0.0,4.75348,22.5059,76.418,79.9485,18.69,281287.0,43888.7,15989.7,-9429.55,2.683,9.4543,3351.48,3.14,0.02,6.7,342000.0,,1.52273,6.8,12.0,1.25,74.8623,83.0,28021,30156052,28700795,58856847,32.25,16681796,42175051,3.13,7.71,Flawed democracy,43.2,Giorgia Meloni,Prime Minister
Jamaica,Jamaica,Jamaican dollar,Kingston,Caribbean,Americas,Jamaican,18.25,-77.5,4440.0,5968.9,10830.0,10006.2,1022.33,106.282,29.8296,17097800000.0,10.3496,39.8279,25.7095,6.049,36.4257,100.0,0.569708,0.0,3.12955,0.0,0.0,89.738,7.13246,82.0425,80.9713,11.43,5835.6,825.928,409.695,-926.575,7.32869,6.61175,325.721,1.72,0.5,2.4,6000.0,,1.41272,11.712,8.797,1.352,82.36,70.0,-5664,1424998,1402379,2827377,28.5714,1215546,1611831,7.03,7.02,Flawed democracy,27.3,Andrew Holness,Prime Minister
Japan,Japan,Japanese yen,Tokyo,Eastern Asia,Asia,Japanese,36.0,138.0,43720.0,249350.0,364500.0,316736.0,53452.1,217.614,21.7418,4231140000000.0,2.4977,9.8321,11.5908,2.641,8.1165,100.0,3.09202,33.1527,8.22909,39.5872,0.911553,7.51942,7.75569,93.0191,93.0265,8.45,1014060.0,25783.3,18498.4,-21412.0,11.5748,10.9043,4388.1,12.98,,15.3,261000.0,,1.07352,6.6,11.7,1.3,82.9141,84.0,87584,64314912,60810077,125124989,9.91379,10066305,115058684,2.66,7.99,Flawed democracy,44.7,Yoshihide Suga,Prime Minister
Jordan,Hashemite Kingdom of Jordan,Jordanian dinar,Amman,Western Asia,Asia,Jordanian,31.0,36.0,10290.0,975.0,88794.0,86673.4,2170.09,76.1761,28.2431,47451500000.0,4.22916,11.342,16.0253,17.874,8.53375,99.9,1.91773,0.0,0.278742,48.4433,0.0,50.589,0.688966,96.8123,97.6084,11.04,20974.1,6678.1,1225.86,4947.63,0.0385479,7.46914,298.645,1.47,,1.6,116000.0,,5.01896,21.95,3.868,2.83,82.7556,74.0,14374,5438953,5846915,11285869,12.3077,922394,10363475,1.81,3.93,Authoritarian,19.7,Abdullah II,King
Kazakhstan,Republic of Kazakhstan,Kazakh tenge,Astana,Central Asia,Asia,Kazakhstani,48.0,68.0,2140030.0,34546.8,2699700.0,2636600.0,6363.39,22.412,17.1165,220623000000.0,8.04232,22.0088,9.44711,5.008,20.6596,100.0,0.608888,71.5689,8.7059,18.3933,0.0,1.16373,0.168126,-116.89,99.1739,1.78,211897.0,69749.5,11597.5,-7609.54,0.0,3.78894,341.542,6.06,0.18,17.6,71000.0,120,0.866369,23.5,9.61,3.32,90.92,70.0,-18917,10179087,9442885,19621972,27.3585,8243190,11378782,1.48,2.94,Authoritarian,25.5,Qasym-Zhomart Toqaev,President
Kenya,Republic of Kenya,Kenyan shilling,Nairobi,Eastern Africa,Africa,Kenyan,1.0,38.0,276300.0,36110.9,569140.0,579896.0,3416.84,,20.7063,113420000000.0,7.65687,62.053,13.2649,5.502,60.5601,76.5424,2.23894,0.0,39.2395,0.0,0.0,12.4858,48.2748,17.1699,17.3796,72.5,19446.8,37602.5,20969.0,3975.08,0.210684,4.29191,83.3962,1.4,0.73,6.1,29000.0,30000,1.11911,27.685,8.056,3.335,28.7575,61.0,-52549,27249938,26777549,54027487,23.4286,38358435,15669052,2.41,5.11,Hybrid regime,15.4,Uhuru Kenyatta,President
Kiribati,Republic of Kiribati,Australian dollar,South Tarawa,Micronesia,Oceania,I-Kiribati,1.41666666,173.0,340.0,11.8,810.0,907.557,5.18751,,105.422,223353000.0,-1.81308,,27.3756,,,92.8336,,,,,,,,,0.0,42.8,56.9,23.21,5.12441,17.1825,13.3237,11.6418,166.618,1.86,,28.3,,,,27.207,6.236,3.304,53.627,67.0,-296,67289,63943,131232,6.66667,56354,74878,0.0,0.0,Unknown,18.0,Taneti Maamau,President
